"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.200204330E-1,-3.245711923E-1,-3.011784554E-1,4.566545486E-1
9.247080370E-1,-1.457399726E-1,-4.022531509E-1,1.343383789E-1
9.293956940E-1,4.588900506E-2,-4.106225967E-1,-2.051305771E-1
9.340833500E-1,2.796353400E-1,-3.976950645E-1,-5.144414902E-1
9.387710060E-1,4.471740425E-1,-4.058637619E-1,-8.273315430E-1
9.434586620E-1,4.930514395E-1,-3.492326736E-1,-1.020533562E0
9.481463190E-1,4.235078692E-1,-3.040199280E-1,-1.123634338E0
9.528339230E-1,2.635625601E-1,-2.513442039E-1,-1.123019695E0
9.575215790E-1,1.187344790E-1,-2.293262482E-1,-1.057437897E0
9.622092350E-1,2.661710978E-2,-1.477313042E-1,-1.031681538E0
9.668968390E-1,-1.804053783E-2,-9.731817245E-2,-9.788737297E-1
9.715845480E-1,-4.437485337E-2,1.679372787E-2,-8.942813873E-1
9.762722040E-1,-2.922735550E-2,2.293062210E-2,-7.637233734E-1
9.809598080E-1,-3.987600654E-2,8.284854889E-2,-4.923620224E-1
9.856474640E-1,-2.946352772E-2,3.398990631E-2,-1.284189224E-1
9.903351210E-1,-3.707477450E-2,6.153631210E-2,1.853752136E-1
9.950227770E-1,3.168821335E-2,8.340311050E-2,4.497985840E-1
9.997104330E-1,2.184061408E-1,2.319288254E-2,5.800571442E-1
1.004398089E0,5.144916177E-1,4.532337189E-3,6.653194427E-1
1.009085694E0,8.332065344E-1,-6.367540359E-2,6.990175247E-1
1.013773350E0,1.089709759E0,-1.671040058E-1,7.148122787E-1
1.018461006E0,1.442830443E0,-2.534873486E-1,8.891763687E-1
1.023148662E0,1.774546027E0,-2.752387524E-1,1.007052422E0
1.027836319E0,1.838016510E0,-3.132550716E-1,9.304294586E-1
1.032523975E0,1.686654925E0,-2.810306549E-1,7.599735260E-1
1.037211579E0,1.468454599E0,-2.639119625E-1,5.529937744E-1
1.041899235E0,1.273160934E0,-2.036170959E-1,2.377576828E-1
1.046586892E0,1.099399328E0,-9.913325310E-2,-1.619520187E-1
1.051274548E0,9.552162290E-1,2.855062485E-3,-5.319414139E-1
1.055962204E0,8.012676239E-1,1.268594265E-1,-8.393239975E-1
1.060649860E0,6.464954615E-1,2.682263851E-1,-1.003497124E0
1.065337464E0,4.859672189E-1,3.932552338E-1,-9.916286469E-1
1.070025069E0,3.770881891E-1,5.063183308E-1,-9.233922958E-1
1.074712777E0,2.339811325E-1,6.116006374E-1,-7.987565994E-1
1.079400433E0,6.619232893E-2,6.513786316E-1,-6.129722595E-1
1.084088089E0,-1.507090926E-1,7.586646080E-1,-3.756427765E-1
1.088775694E0,-2.411010265E-1,8.467545509E-1,-1.249723434E-1
1.093463350E0,-2.775443792E-1,9.864933491E-1,1.153211594E-1
1.098151006E0,-3.323152065E-1,1.105834961E0,2.452239990E-1
1.102838662E0,-3.392000198E-1,1.228695393E0,1.983613968E-1
1.107526319E0,-4.084492922E-1,1.283928156E0,4.671764374E-2
1.112213975E0,-4.591296911E-1,1.376981258E0,-2.333106995E-1
1.116901579E0,-5.582329035E-1,1.389087677E0,-4.746494293E-1
1.121589235E0,-6.631618738E-1,1.363799334E0,-6.681375504E-1
1.126276892E0,-7.029722929E-1,1.344371080E0,-7.664813995E-1
1.130964548E0,-7.306318283E-1,1.250056267E0,-8.273973465E-1
1.135652152E0,-6.743134260E-1,1.204843760E0,-7.746381760E-1
1.140339808E0,-6.139843464E-1,1.122047663E0,-5.415153503E-1
1.145027464E0,-3.846524954E-1,9.673175812E-1,-1.375303268E-1
1.149715121E0,5.428659916E-2,6.397652626E-1,2.085895538E-1
1.154402777E0,6.423580647E-1,2.155442238E-1,4.165639877E-1
1.159090433E0,1.080222726E0,-1.245911121E-1,6.255407333E-1
1.163778089E0,1.326683998E0,-3.436532021E-1,8.930168152E-1
1.168465694E0,1.254322767E0,-3.714165688E-1,1.128421783E0
1.173153350E0,1.088176847E0,-3.664908409E-1,1.274760246E0
1.177841006E0,9.132809639E-1,-3.436906338E-1,1.289414406E0
1.182528662E0,7.327753305E-1,-3.554248810E-1,1.225085258E0
1.187216319E0,5.590294600E-1,-3.919904232E-1,1.119943619E0
1.191903871E0,3.569373488E-1,-4.958457947E-1,8.927869797E-1
1.196591579E0,2.058931589E-1,-6.042437553E-1,6.724109650E-1
1.201279235E0,1.088637114E-1,-6.832100153E-1,4.727039337E-1
1.205966892E0,4.536032677E-2,-8.132252693E-1,2.646207809E-1
1.210654548E0,9.374976158E-3,-8.503283262E-1,3.829479218E-2
