"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.983204882E1,6.145915325E1,2.349024387E1,9.620278216E1,1.250000000E0,2.353999939E2,3.790092468E0,2.500000000E0
8.083274018E1,6.145914538E1,2.349022369E1,9.637757994E1,1.370000005E0,2.323000031E2,3.790092468E0,2.500000000E0
8.183264013E1,6.145913831E1,2.349020256E1,9.641913884E1,1.340000033E0,2.366000061E2,3.790092468E0,2.500000000E0
8.283238273E1,6.145913225E1,2.349018267E1,9.631439743E1,1.289999962E0,2.376999969E2,3.790092468E0,2.500000000E0
8.383211898E1,6.145912456E1,2.349016458E1,9.637145848E1,1.299999952E0,2.346000061E2,3.790092468E0,2.500000000E0
8.483239903E1,6.145911780E1,2.349014491E1,9.630944095E1,1.350000024E0,2.366000061E2,3.790092468E0,2.500000000E0
8.583202195E1,6.145911073E1,2.349012365E1,9.623594859E1,1.409999967E0,2.363000031E2,3.790092468E0,2.500000000E0
8.683262658E1,6.145910334E1,2.349010130E1,9.612571280E1,1.399999976E0,2.365000000E2,3.790092468E0,2.500000000E0
8.783281934E1,6.145909588E1,2.349008111E1,9.617032302E1,1.350000024E0,2.323000031E2,3.790092468E0,2.500000000E0
8.883199507E1,6.145908905E1,2.349006286E1,9.601193084E1,1.379999995E0,2.286999969E2,3.790092468E0,2.500000000E0
8.983190346E1,6.145908298E1,2.349004270E1,9.612178904E1,1.389999986E0,2.333000031E2,3.790092468E0,2.500000000E0
9.083213674E1,6.145907697E1,2.349002099E1,9.613765325E1,1.399999976E0,2.363999939E2,3.790092468E0,2.500000000E0
9.183221226E1,6.145907129E1,2.349000060E1,9.580915737E1,1.379999995E0,2.375000000E2,3.790092468E0,2.500000000E0
9.283255903E1,6.145906621E1,2.348998107E1,9.578986615E1,1.320000052E0,2.363999939E2,3.790092468E0,2.500000000E0
9.383218496E1,6.145906093E1,2.348996128E1,9.579700297E1,1.330000043E0,2.365000000E2,3.790092468E0,2.500000000E0
9.483277585E1,6.145905406E1,2.348994254E1,9.585144036E1,1.340000033E0,2.346000061E2,3.790092468E0,2.500000000E0
9.583279642E1,6.145904757E1,2.348992366E1,9.574547776E1,1.309999943E0,2.341000061E2,3.790092468E0,2.500000000E0
9.683184647E1,6.145904160E1,2.348990425E1,9.575932773E1,1.259999990E0,2.343999939E2,3.790092468E0,2.500000000E0
9.783224418E1,6.145903487E1,2.348988376E1,9.604551585E1,1.340000033E0,2.351000061E2,3.790092468E0,2.500000000E0
9.883184892E1,6.145902776E1,2.348986349E1,9.607700386E1,1.360000014E0,2.328999939E2,3.790092468E0,2.500000000E0
